역번호,요일유형,시,구분,일평균인원,연도
95,일,0,승차,0.3076923076923077,2025
95,일,0,하차,44.32692307692308,2025
95,일,1,승차,0.057692307692307696,2025
95,일,1,하차,0.2692307692307692,2025
95,일,2,승차,0.0,2025
95,일,2,하차,0.019230769230769232,2025
95,일,3,승차,0.09615384615384616,2025
95,일,3,하차,0.09615384615384616,2025
95,일,4,승차,17.846153846153847,2025
95,일,4,하차,0.38461538461538464,2025
95,일,5,승차,41.21153846153846,2025
95,일,5,하차,45.96153846153846,2025
95,일,6,승차,83.78846153846153,2025
95,일,6,하차,104.23076923076923,2025
95,일,7,승차,125.84615384615384,2025
95,일,7,하차,110.42307692307692,2025
95,일,8,승차,213.21153846153845,2025
95,일,8,하차,185.6153846153846,2025
95,일,9,승차,253.21153846153845,2025
95,일,9,하차,250.8846153846154,2025
95,일,10,승차,298.38461538461536,2025
95,일,10,하차,362.13461538461536,2025
95,일,11,승차,348.40384615384613,2025
95,일,11,하차,379.0576923076923,2025
95,일,12,승차,377.21153846153845,2025
95,일,12,하차,349.65384615384613,2025
95,일,13,승차,401.38461538461536,2025
95,일,13,하차,385.71153846153845,2025
95,일,14,승차,453.5192307692308,2025
95,일,14,하차,431.8269230769231,2025
95,일,15,승차,530.3076923076923,2025
95,일,15,하차,388.61538461538464,2025
95,일,16,승차,521.0576923076923,2025
95,일,16,하차,355.5769230769231,2025
95,일,17,승차,427.5192307692308,2025
95,일,17,하차,326.7692307692308,2025
95,일,18,승차,292.38461538461536,2025
95,일,18,하차,266.38461538461536,2025
95,일,19,승차,208.30769230769232,2025
95,일,19,하차,211.84615384615384,2025
95,일,20,승차,209.07692307692307,2025
95,일,20,하차,135.53846153846155,2025
95,일,21,승차,170.48076923076923,2025
95,일,21,하차,112.9423076923077,2025
95,일,22,승차,100.01923076923077,2025
95,일,22,하차,76.17307692307692,2025
95,일,23,승차,17.903846153846153,2025
95,일,23,하차,57.28846153846154,2025
95,주중,0,승차,0.5517241379310345,2025
95,주중,0,하차,54.452107279693486,2025
95,주중,1,승차,0.4559386973180077,2025
95,주중,1,하차,0.685823754789272,2025
95,주중,2,승차,0.1685823754789272,2025
95,주중,2,하차,0.6436781609195402,2025
95,주중,3,승차,0.367816091954023,2025
95,주중,3,하차,0.2413793103448276,2025
95,주중,4,승차,26.413793103448278,2025
95,주중,4,하차,0.7049808429118773,2025
95,주중,5,승차,67.55555555555556,2025
95,주중,5,하차,53.923371647509576,2025
95,주중,6,승차,182.50191570881225,2025
95,주중,6,하차,132.79310344827587,2025
95,주중,7,승차,430.4022988505747,2025
95,주중,7,하차,188.70498084291188,2025
95,주중,8,승차,471.86973180076626,2025
95,주중,8,하차,228.60536398467434,2025
95,주중,9,승차,364.2605363984674,2025
95,주중,9,하차,210.51340996168582,2025
95,주중,10,승차,356.3831417624521,2025
95,주중,10,하차,240.40996168582376,2025
95,주중,11,승차,366.93486590038316,2025
95,주중,11,하차,270.57471264367814,2025
95,주중,12,승차,353.42911877394636,2025
95,주중,12,하차,315.6896551724138,2025
95,주중,13,승차,359.4597701149425,2025
95,주중,13,하차,326.808429118774,2025
95,주중,14,승차,378.5249042145594,2025
95,주중,14,하차,316.39463601532566,2025
95,주중,15,승차,443.8582375478927,2025
95,주중,15,하차,321.42911877394636,2025
95,주중,16,승차,402.7049808429119,2025
95,주중,16,하차,362.71264367816093,2025
95,주중,17,승차,379.2145593869732,2025
95,주중,17,하차,356.7662835249042,2025
95,주중,18,승차,272.55555555555554,2025
95,주중,18,하차,375.4942528735632,2025
95,주중,19,승차,177.42528735632183,2025
95,주중,19,하차,273.55555555555554,2025
95,주중,20,승차,185.37164750957854,2025
95,주중,20,하차,153.24521072796935,2025
95,주중,21,승차,118.03831417624521,2025
95,주중,21,하차,129.10344827586206,2025
95,주중,22,승차,75.816091954023,2025
95,주중,22,하차,112.51724137931035,2025
95,주중,23,승차,17.735632183908045,2025
95,주중,23,하차,84.62452107279694,2025
95,토,0,승차,0.4423076923076923,2025
95,토,0,하차,65.57692307692308,2025
95,토,1,승차,0.3076923076923077,2025
95,토,1,하차,0.17307692307692307,2025
95,토,2,승차,0.07692307692307693,2025
95,토,2,하차,0.3269230769230769,2025
95,토,3,승차,0.07692307692307693,2025
95,토,3,하차,0.17307692307692307,2025
95,토,4,승차,24.173076923076923,2025
95,토,4,하차,0.6538461538461539,2025
95,토,5,승차,52.32692307692308,2025
95,토,5,하차,51.30769230769231,2025
95,토,6,승차,107.59615384615384,2025
95,토,6,하차,109.21153846153847,2025
95,토,7,승차,175.59615384615384,2025
95,토,7,하차,110.40384615384616,2025
95,토,8,승차,280.7692307692308,2025
95,토,8,하차,175.94230769230768,2025
95,토,9,승차,312.0192307692308,2025
95,토,9,하차,246.34615384615384,2025
95,토,10,승차,349.09615384615387,2025
95,토,10,하차,313.8076923076923,2025
95,토,11,승차,399.88461538461536,2025
95,토,11,하차,362.75,2025
95,토,12,승차,424.84615384615387,2025
95,토,12,하차,383.4230769230769,2025
95,토,13,승차,414.38461538461536,2025
95,토,13,하차,382.7307692307692,2025
95,토,14,승차,430.65384615384613,2025
95,토,14,하차,391.13461538461536,2025
95,토,15,승차,491.86538461538464,2025
95,토,15,하차,383.2307692307692,2025
95,토,16,승차,489.63461538461536,2025
95,토,16,하차,394.4807692307692,2025
95,토,17,승차,434.71153846153845,2025
95,토,17,하차,400.46153846153845,2025
95,토,18,승차,315.63461538461536,2025
95,토,18,하차,332.4230769230769,2025
95,토,19,승차,239.69230769230768,2025
95,토,19,하차,246.30769230769232,2025
95,토,20,승차,268.40384615384613,2025
95,토,20,하차,189.82692307692307,2025
95,토,21,승차,213.40384615384616,2025
95,토,21,하차,136.09615384615384,2025
95,토,22,승차,150.48076923076923,2025
95,토,22,하차,119.61538461538461,2025
95,토,23,승차,22.634615384615383,2025
95,토,23,하차,85.46153846153847,2025
96,일,0,승차,1.3269230769230769,2025
96,일,0,하차,17.884615384615383,2025
96,일,1,승차,0.25,2025
96,일,1,하차,0.25,2025
96,일,2,승차,0.019230769230769232,2025
96,일,2,하차,0.17307692307692307,2025
96,일,3,승차,0.0,2025
96,일,3,하차,0.057692307692307696,2025
96,일,4,승차,6.423076923076923,2025
96,일,4,하차,0.15384615384615385,2025
96,일,5,승차,42.07692307692308,2025
96,일,5,하차,16.653846153846153,2025
96,일,6,승차,53.61538461538461,2025
96,일,6,하차,68.78846153846153,2025
96,일,7,승차,72.13461538461539,2025
96,일,7,하차,48.65384615384615,2025
96,일,8,승차,100.63461538461539,2025
96,일,8,하차,72.07692307692308,2025
96,일,9,승차,135.42307692307693,2025
96,일,9,하차,95.07692307692308,2025
96,일,10,승차,169.5,2025
96,일,10,하차,145.26923076923077,2025
96,일,11,승차,179.21153846153845,2025
96,일,11,하차,206.69230769230768,2025
96,일,12,승차,183.82692307692307,2025
96,일,12,하차,201.01923076923077,2025
96,일,13,승차,196.92307692307693,2025
96,일,13,하차,184.75,2025
96,일,14,승차,233.8653846153846,2025
96,일,14,하차,188.19230769230768,2025
96,일,15,승차,212.30769230769232,2025
96,일,15,하차,223.48076923076923,2025
96,일,16,승차,184.90384615384616,2025
96,일,16,하차,235.57692307692307,2025
96,일,17,승차,157.73076923076923,2025
96,일,17,하차,217.17307692307693,2025
96,일,18,승차,128.30769230769232,2025
96,일,18,하차,180.6346153846154,2025
96,일,19,승차,91.26923076923077,2025
96,일,19,하차,131.34615384615384,2025
96,일,20,승차,66.38461538461539,2025
96,일,20,하차,112.5,2025
96,일,21,승차,48.5,2025
96,일,21,하차,91.53846153846153,2025
96,일,22,승차,33.57692307692308,2025
96,일,22,하차,71.5576923076923,2025
96,일,23,승차,7.884615384615385,2025
96,일,23,하차,46.23076923076923,2025
96,주중,0,승차,1.4329501915708813,2025
96,주중,0,하차,23.582375478927204,2025
96,주중,1,승차,0.2950191570881226,2025
96,주중,1,하차,0.5019157088122606,2025
96,주중,2,승차,0.04980842911877394,2025
96,주중,2,하차,0.1685823754789272,2025
96,주중,3,승차,0.0038314176245210726,2025
96,주중,3,하차,0.01532567049808429,2025
96,주중,4,승차,13.191570881226054,2025
96,주중,4,하차,0.36398467432950193,2025
96,주중,5,승차,71.25670498084291,2025
96,주중,5,하차,22.337164750957854,2025
96,주중,6,승차,126.29501915708812,2025
96,주중,6,하차,114.44061302681992,2025
96,주중,7,승차,280.6551724137931,2025
96,주중,7,하차,148.11494252873564,2025
96,주중,8,승차,303.7931034482759,2025
96,주중,8,하차,267.16858237547893,2025
96,주중,9,승차,237.727969348659,2025
96,주중,9,하차,201.05747126436782,2025
96,주중,10,승차,249.57088122605364,2025
96,주중,10,하차,217.38697318007664,2025
96,주중,11,승차,266.7892720306513,2025
96,주중,11,하차,262.0383141762452,2025
96,주중,12,승차,266.5249042145594,2025
96,주중,12,하차,241.96934865900383,2025
